name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage
,,,,,,,,,,,,,,,,,,,,,,,
#Ambiance,,,,,,,,,,,,,,,,,,,,,,,
ambient_mp_ze_citystreets,,ambient/amb_duhocbattle_Bunker_1.mp3,0.63,,,,,,,local,streamed,,looping,,mp_ze_citystreets,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
stuka,,vehicles/stuka_planeby1.wav,0.5,,,,,,,local,,,,,mp_ze_citystreets,,,,,,,,
stuka_flyby,1,vehicles/stuka_planeby2.wav,0.5,,,,,,,local,,,,,mp_ze_citystreets,,,,,,,,
stuka_flyby1,1,vehicles/mrk_plane_flyby_stuka3.wav,0.5,,,,,,,local,,,,,mp_ze_citystreets,,,,,,,,
stuka_flyby1,2,vehicles/mrk_plane_flyby_stuka3.wav,0.5,,,,,,,local,,,,,mp_ze_citystreets,,,,,,,,
stuka_flyby,3,vehicles/stuka_planeby3b.wav,0.5,,,,,,,local,,,,,mp_ze_citystreets,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
incoming_mortar,,Explosions/artillery_incoming01.wav,1,1,,1,1,5000,6000,auto,streamed,,,,mp_ze_citystreets,,,,,,,,
explosion_ground,,Explosions/Mortar_dirt01.wav,1,1,,1,1,5000,6000,auto,streamed,,,,mp_ze_citystreets,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
hotwire,,misc/MP_defuse.wav,1,1,,1,1,5000,6000,auto,streamed,,,,mp_ze_citystreets,,,,,,,,
